epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5903.58,0.82898,0.61013,0.89448,0.92387,0.89196,0.96127,0.82464,0.59745,0.45042,0.8368,0.008812,0.008812,0.008812
44,5924.59,0.78178,0.58663,0.88381,0.93043,0.91729,0.96684,0.81299,0.63875,0.42977,0.84091,0.00878371,0.00878371,0.00878371
45,5953.91,0.81905,0.5953,0.88836,0.88983,0.90203,0.9578,0.82408,0.57245,0.44803,0.82969,0.00875543,0.00875543,0.00875543
46,5984.17,0.78365,0.58142,0.88515,0.89783,0.91545,0.95964,0.83454,0.56777,0.43637,0.83174,0.00872714,0.00872714,0.00872714
47,6002.5,0.77112,0.57652,0.88401,0.8539,0.87766,0.93119,0.80648,0.56026,0.45336,0.82952,0.00869886,0.00869886,0.00869886
48,6025.25,0.74575,0.56756,0.87786,0.82414,0.83291,0.89667,0.77587,0.55562,0.50467,0.82951,0.00867057,0.00867057,0.00867057
49,6052.1,0.74849,0.55871,0.87831,0.79107,0.81761,0.88993,0.77331,0.55899,0.61668,0.8332,0.00864229,0.00864229,0.00864229
50,6084.18,0.77603,0.56408,0.88154,0.90777,0.83275,0.93905,0.81301,0.56301,0.46856,0.83089,0.008614,0.008614,0.008614
51,6105.19,0.74748,0.55041,0.87786,0.93614,0.91079,0.9742,0.85886,0.53279,0.39477,0.82271,0.00858571,0.00858571,0.00858571
52,6123.86,0.76229,0.56088,0.88327,0.94807,0.93068,0.97489,0.8469,0.57002,0.40227,0.83374,0.00855743,0.00855743,0.00855743
53,6154.9,0.77799,0.55752,0.88221,0.92197,0.91551,0.97063,0.8539,0.54368,0.40971,0.8271,0.00852914,0.00852914,0.00852914
54,6180.36,0.76299,0.53895,0.88142,0.90459,0.90242,0.96176,0.83672,0.54905,0.42235,0.82568,0.00850086,0.00850086,0.00850086
55,6208.75,0.79827,0.56452,0.88708,0.92218,0.92543,0.97777,0.85382,0.55194,0.41404,0.82529,0.00847257,0.00847257,0.00847257
56,6226.41,0.78369,0.54826,0.88068,0.92793,0.88628,0.96019,0.82249,0.60576,0.42735,0.83829,0.00844429,0.00844429,0.00844429
57,6249.8,0.77713,0.5462,0.87786,0.93292,0.91979,0.97303,0.85513,0.53343,0.40172,0.82383,0.008416,0.008416,0.008416
58,6269.76,0.75091,0.5283,0.87587,0.89716,0.85273,0.94173,0.81997,0.5633,0.457,0.82547,0.00838771,0.00838771,0.00838771
59,6285.37,0.77933,0.53807,0.8792,0.92642,0.87475,0.95758,0.82877,0.58379,0.43941,0.82695,0.00835943,0.00835943,0.00835943
60,6302.85,0.73096,0.51833,0.87374,0.95759,0.90809,0.97695,0.85741,0.5252,0.38499,0.82665,0.00833114,0.00833114,0.00833114
61,6331.78,0.72958,0.50341,0.87068,0.96084,0.92908,0.97162,0.84227,0.58035,0.39157,0.82719,0.00830286,0.00830286,0.00830286
62,6359.56,0.74938,0.51476,0.87769,0.92022,0.91739,0.96901,0.84493,0.55183,0.40856,0.8283,0.00827457,0.00827457,0.00827457
63,6390.05,0.7403,0.52202,0.87425,0.95889,0.92613,0.97729,0.84596,0.56774,0.40682,0.83132,0.00824629,0.00824629,0.00824629
64,6410.19,0.7286,0.50889,0.87034,0.9358,0.9437,0.98,0.85906,0.54353,0.37606,0.8211,0.008218,0.008218,0.008218
65,6429.8,0.73413,0.50397,0.87007,0.94763,0.9284,0.97718,0.85981,0.53248,0.383,0.82053,0.00818971,0.00818971,0.00818971
66,6460.46,0.71564,0.49367,0.86668,0.95456,0.96686,0.98851,0.88112,0.5042,0.34163,0.81833,0.00816143,0.00816143,0.00816143
67,6495.18,0.70096,0.49403,0.86806,0.93812,0.90757,0.97761,0.86527,0.51988,0.38384,0.81809,0.00813314,0.00813314,0.00813314
68,6519.21,0.71113,0.49209,0.86521,0.91179,0.90755,0.95205,0.83589,0.54143,0.41509,0.82022,0.00810486,0.00810486,0.00810486
69,6547.19,0.72657,0.49111,0.86158,0.69925,0.79114,0.8165,0.71616,0.52507,0.65504,0.8184,0.00807657,0.00807657,0.00807657
70,6573.06,0.68519,0.47603,0.86449,0.91246,0.86753,0.94007,0.82524,0.52929,0.41663,0.82078,0.00804829,0.00804829,0.00804829
71,6592.01,0.68108,0.47131,0.85988,0.93119,0.90947,0.96992,0.86019,0.51174,0.37475,0.81871,0.00802,0.00802,0.00802
72,6618.83,0.69953,0.48297,0.86298,0.95878,0.93652,0.97918,0.8558,0.54567,0.3735,0.82341,0.00799171,0.00799171,0.00799171
73,6653.7,0.72232,0.49449,0.86557,0.95889,0.94379,0.981,0.85781,0.54912,0.36214,0.82368,0.00796343,0.00796343,0.00796343
74,6830.71,0.69672,0.47641,0.86217,0.9516,0.94791,0.98455,0.87653,0.49925,0.34567,0.81578,0.00793514,0.00793514,0.00793514
75,7170.72,0.69052,0.46741,0.85776,0.9224,0.91675,0.96545,0.84975,0.52837,0.38657,0.82139,0.00790686,0.00790686,0.00790686
76,7280.49,0.71196,0.47416,0.86137,0.95929,0.93666,0.98347,0.86503,0.54725,0.36076,0.82143,0.00787857,0.00787857,0.00787857
77,7324.05,0.71701,0.47854,0.86307,0.97157,0.9389,0.98016,0.87103,0.50803,0.34489,0.81593,0.00785029,0.00785029,0.00785029
78,7638.86,0.70384,0.46833,0.86094,0.87023,0.87385,0.92878,0.80986,0.54403,0.46172,0.82142,0.007822,0.007822,0.007822
79,7886.96,0.6867,0.46278,0.85984,0.84642,0.88997,0.93072,0.81764,0.5275,0.43756,0.81737,0.00779371,0.00779371,0.00779371
80,8256.54,0.69032,0.46639,0.86162,0.95978,0.93462,0.98417,0.87905,0.4926,0.33839,0.81173,0.00776543,0.00776543,0.00776543
81,8368.26,0.70017,0.46496,0.85827,0.96892,0.94844,0.98924,0.8807,0.53214,0.34463,0.81574,0.00773714,0.00773714,0.00773714
82,8452.75,0.67659,0.45218,0.8563,0.96868,0.96185,0.9889,0.86739,0.5572,0.34101,0.82268,0.00770886,0.00770886,0.00770886
83,8546.77,0.68039,0.44973,0.85927,0.93212,0.93606,0.96367,0.85299,0.51315,0.37399,0.81515,0.00768057,0.00768057,0.00768057
84,8595.61,0.67554,0.44552,0.85321,0.94287,0.93742,0.97561,0.87961,0.48381,0.3475,0.80874,0.00765229,0.00765229,0.00765229
85,8701.86,0.64891,0.42325,0.85318,0.96874,0.96374,0.99008,0.88746,0.51082,0.32996,0.81118,0.007624,0.007624,0.007624
86,10916.4,0.66769,0.43965,0.85484,0.95391,0.951,0.98636,0.87119,0.52701,0.34365,0.8164,0.00759571,0.00759571,0.00759571
87,10957.6,0.67373,0.4434,0.85406,0.89112,0.8876,0.93234,0.8228,0.53312,0.44317,0.81294,0.00756743,0.00756743,0.00756743
88,10988.1,0.68416,0.44733,0.85674,0.96138,0.93926,0.98403,0.87365,0.51228,0.34458,0.81414,0.00753914,0.00753914,0.00753914
89,11011.9,0.66864,0.43725,0.85186,0.96564,0.96297,0.99137,0.89049,0.49717,0.32228,0.81264,0.00751086,0.00751086,0.00751086
90,11051.2,0.67973,0.44095,0.85179,0.9684,0.95444,0.98839,0.8824,0.50719,0.32731,0.81066,0.00748257,0.00748257,0.00748257
91,11093.1,0.65191,0.42719,0.85373,0.96502,0.93968,0.98283,0.88364,0.47736,0.3282,0.80732,0.00745429,0.00745429,0.00745429
92,11120.9,0.65946,0.43142,0.84859,0.94415,0.93725,0.97482,0.8559,0.53753,0.37828,0.82537,0.007426,0.007426,0.007426
93,11178.6,0.66969,0.44083,0.85523,0.96828,0.97027,0.99094,0.88646,0.50127,0.31701,0.81005,0.00739771,0.00739771,0.00739771
94,11229.9,0.6613,0.43658,0.85123,0.9713,0.94244,0.98597,0.88205,0.49596,0.33289,0.80955,0.00736943,0.00736943,0.00736943
95,11254,0.66488,0.43296,0.85265,0.93976,0.9203,0.97378,0.85251,0.55409,0.36255,0.81704,0.00734114,0.00734114,0.00734114
96,11287.1,0.67952,0.42989,0.85042,0.95636,0.93986,0.98205,0.87684,0.48774,0.34184,0.80882,0.00731286,0.00731286,0.00731286
97,11306.9,0.66073,0.42263,0.84919,0.96936,0.95638,0.98849,0.87953,0.50712,0.31706,0.81221,0.00728457,0.00728457,0.00728457
98,11343.8,0.65827,0.41866,0.85094,0.9725,0.96759,0.99028,0.88829,0.49168,0.31579,0.80994,0.00725629,0.00725629,0.00725629
99,11383.8,0.65866,0.42048,0.85314,0.96847,0.97117,0.98794,0.88601,0.48358,0.31234,0.80757,0.007228,0.007228,0.007228
100,11414,0.63928,0.41664,0.84819,0.97502,0.95681,0.99149,0.8946,0.48178,0.30573,0.80648,0.00719971,0.00719971,0.00719971
101,11447.8,0.64396,0.41819,0.8523,0.97787,0.96462,0.99124,0.89772,0.47783,0.3054,0.80739,0.00717143,0.00717143,0.00717143
102,11478.7,0.64808,0.41652,0.84522,0.85136,0.90021,0.91058,0.81333,0.48545,0.4428,0.80725,0.00714314,0.00714314,0.00714314
103,11511,0.67553,0.42669,0.85126,0.935,0.91351,0.96381,0.85943,0.50374,0.36555,0.80959,0.00711486,0.00711486,0.00711486
