epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,556.018,0.4437,0.31502,0.81058,0.99368,0.9871,0.99444,0.83398,0.7186,0.33185,0.84732,0.0097986,0.0097986,0.0097986
43,569.132,0.45172,0.31997,0.81271,0.98004,0.9843,0.99262,0.87949,0.54672,0.29301,0.8212,0.00978873,0.00978873,0.00978873
44,582.1,0.4249,0.30322,0.8097,0.98862,0.98331,0.99351,0.86849,0.60943,0.30142,0.82981,0.00977863,0.00977863,0.00977863
45,595.189,0.42997,0.31023,0.80933,0.99163,0.98466,0.99414,0.87531,0.57427,0.29544,0.82394,0.00976829,0.00976829,0.00976829
46,608.408,0.42257,0.30571,0.80824,0.99014,0.98825,0.99412,0.85943,0.62533,0.31097,0.83212,0.00975773,0.00975773,0.00975773
47,621.68,0.43236,0.30647,0.80565,0.99132,0.99474,0.9948,0.86214,0.60262,0.28725,0.83076,0.00974694,0.00974694,0.00974694
48,634.78,0.41297,0.29691,0.80691,0.96171,0.9612,0.9916,0.85808,0.62642,0.3536,0.83158,0.00973591,0.00973591,0.00973591
49,647.825,0.41621,0.29737,0.80567,0.98735,0.98364,0.99405,0.846,0.65917,0.29966,0.83744,0.00972466,0.00972466,0.00972466
50,661.13,0.40725,0.29014,0.8055,0.99204,0.98999,0.99454,0.85907,0.62851,0.29958,0.83068,0.00971318,0.00971318,0.00971318
51,674.26,0.40002,0.29054,0.80277,0.99302,0.98237,0.99418,0.87176,0.59448,0.29204,0.82439,0.00970148,0.00970148,0.00970148
52,687.529,0.41987,0.30193,0.8072,0.99033,0.98575,0.99433,0.84491,0.6965,0.31755,0.84153,0.00968955,0.00968955,0.00968955
53,700.574,0.40651,0.29504,0.80703,0.98973,0.98389,0.99425,0.86608,0.61343,0.29277,0.82837,0.00967739,0.00967739,0.00967739
54,714.007,0.3969,0.28482,0.80343,0.99513,0.99058,0.99487,0.84682,0.64847,0.30561,0.83552,0.009665,0.009665,0.009665
55,727.238,0.41682,0.31367,0.8029,0.98835,0.984,0.99463,0.85364,0.63162,0.30541,0.8337,0.00965239,0.00965239,0.00965239
56,740.458,0.414,0.29289,0.80385,0.98651,0.98275,0.99436,0.86079,0.64047,0.29488,0.83242,0.00963956,0.00963956,0.00963956
57,754.069,0.3992,0.28577,0.80438,0.99405,0.98987,0.9948,0.84789,0.66112,0.29589,0.83584,0.0096265,0.0096265,0.0096265
58,767.369,0.41506,0.29339,0.80365,0.99067,0.98365,0.99441,0.85111,0.62561,0.30188,0.83551,0.00961322,0.00961322,0.00961322
59,780.729,0.41878,0.2874,0.80287,0.9942,0.99282,0.99485,0.86295,0.61167,0.2805,0.82741,0.00959972,0.00959972,0.00959972
60,794.1,0.3878,0.27756,0.80091,0.99336,0.99464,0.99479,0.86621,0.5987,0.28103,0.82583,0.009586,0.009586,0.009586
61,807.375,0.39894,0.28757,0.8013,0.99375,0.99085,0.99466,0.85699,0.62378,0.30901,0.82954,0.00957205,0.00957205,0.00957205
62,820.725,0.39073,0.27874,0.80057,0.99226,0.98972,0.99465,0.85468,0.64998,0.2895,0.83359,0.00955788,0.00955788,0.00955788
63,834.011,0.41149,0.28024,0.80222,0.99717,0.99151,0.99484,0.87142,0.58973,0.27111,0.82287,0.0095435,0.0095435,0.0095435
64,847.957,0.40365,0.27659,0.79997,0.99409,0.99358,0.99484,0.85154,0.65208,0.28849,0.83245,0.00952889,0.00952889,0.00952889
65,861.511,0.38589,0.27301,0.80127,0.99403,0.98902,0.99458,0.8509,0.65872,0.29388,0.83418,0.00951407,0.00951407,0.00951407
66,875.252,0.39554,0.27745,0.80021,0.99509,0.99248,0.99469,0.86104,0.62596,0.28611,0.82878,0.00949903,0.00949903,0.00949903
67,888.686,0.39003,0.27837,0.79984,0.99108,0.9959,0.99489,0.87123,0.60859,0.27826,0.82633,0.00948377,0.00948377,0.00948377
68,902.342,0.38389,0.27038,0.79902,0.99261,0.99367,0.99482,0.87406,0.59277,0.27846,0.82423,0.0094683,0.0094683,0.0094683
69,915.752,0.377,0.2652,0.79874,0.99347,0.9903,0.99474,0.85084,0.68393,0.29873,0.83709,0.00945261,0.00945261,0.00945261
70,929.313,0.39201,0.2714,0.79917,0.97915,0.97919,0.99207,0.85658,0.63124,0.29622,0.83028,0.00943671,0.00943671,0.00943671
71,942.955,0.40544,0.27834,0.80233,0.99464,0.99278,0.99465,0.86661,0.61476,0.27872,0.82699,0.00942059,0.00942059,0.00942059
72,956.397,0.41832,0.27841,0.80243,0.99459,0.99036,0.99485,0.84834,0.66439,0.30527,0.83598,0.00940426,0.00940426,0.00940426
