epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,236.917,0.88168,0.70566,0.91184,0.73415,0.8708,0.90352,0.76866,0.61005,0.58933,0.84187,0.008812,0.008812,0.008812
44,242.27,0.85505,0.6961,0.90123,0.83638,0.86483,0.9184,0.78101,0.60736,0.50768,0.84379,0.00878371,0.00878371,0.00878371
45,247.645,0.83219,0.66133,0.89829,0.87906,0.88107,0.92962,0.79881,0.58212,0.48081,0.84086,0.00875543,0.00875543,0.00875543
46,253.006,0.81283,0.65212,0.896,0.88977,0.90278,0.95228,0.81475,0.60366,0.45618,0.83826,0.00872714,0.00872714,0.00872714
47,258.392,0.80977,0.64738,0.89515,0.89278,0.88234,0.94566,0.81249,0.60349,0.46623,0.83899,0.00869886,0.00869886,0.00869886
48,263.792,0.80967,0.63426,0.89372,0.883,0.91734,0.95226,0.81672,0.61325,0.46015,0.83849,0.00867057,0.00867057,0.00867057
49,269.289,0.80205,0.61898,0.89231,0.91443,0.88069,0.95869,0.82046,0.59776,0.4577,0.83666,0.00864229,0.00864229,0.00864229
50,274.725,0.79909,0.62188,0.88991,0.92322,0.89345,0.95926,0.83181,0.57694,0.41876,0.83287,0.008614,0.008614,0.008614
51,280.13,0.8029,0.6143,0.89184,0.88633,0.92536,0.95923,0.82576,0.59695,0.44144,0.83429,0.00858571,0.00858571,0.00858571
52,285.482,0.8167,0.65569,0.89588,0.9488,0.88506,0.96279,0.83194,0.5724,0.432,0.83163,0.00855743,0.00855743,0.00855743
53,290.875,0.78864,0.62459,0.88842,0.87782,0.9023,0.95493,0.83504,0.54555,0.43146,0.83011,0.00852914,0.00852914,0.00852914
54,296.473,0.80751,0.61455,0.89189,0.62699,0.7639,0.7783,0.66579,0.60017,0.77203,0.83387,0.00850086,0.00850086,0.00850086
55,301.801,0.82765,0.62513,0.89563,0.8623,0.89273,0.94962,0.81531,0.57646,0.46966,0.83272,0.00847257,0.00847257,0.00847257
56,307.169,0.84365,0.63229,0.89855,0.90159,0.88817,0.95602,0.82115,0.59266,0.44988,0.83496,0.00844429,0.00844429,0.00844429
57,312.534,0.79545,0.62318,0.88704,0.90063,0.91791,0.96056,0.82713,0.58193,0.43071,0.83275,0.008416,0.008416,0.008416
58,317.892,0.78323,0.59787,0.88445,0.9089,0.91818,0.96818,0.83532,0.56744,0.42042,0.82933,0.00838771,0.00838771,0.00838771
59,323.272,0.81992,0.59553,0.89174,0.9096,0.895,0.95904,0.82244,0.60405,0.45034,0.83549,0.00835943,0.00835943,0.00835943
60,328.807,0.78009,0.58039,0.88684,0.81646,0.87334,0.91304,0.7831,0.59567,0.50949,0.83369,0.00833114,0.00833114,0.00833114
61,334.168,0.77243,0.58895,0.88162,0.90053,0.91581,0.9639,0.8362,0.58686,0.4099,0.83141,0.00830286,0.00830286,0.00830286
62,339.553,0.75899,0.5717,0.88456,0.9219,0.94363,0.97226,0.82193,0.61992,0.43663,0.83307,0.00827457,0.00827457,0.00827457
63,344.907,0.7898,0.57493,0.88472,0.91434,0.90231,0.96431,0.83391,0.56349,0.41624,0.82943,0.00824629,0.00824629,0.00824629
64,350.275,0.77187,0.55457,0.88053,0.94498,0.91944,0.9741,0.86,0.51846,0.3869,0.81859,0.008218,0.008218,0.008218
65,355.684,0.762,0.54998,0.87817,0.95226,0.92111,0.97587,0.85816,0.53338,0.38169,0.81977,0.00818971,0.00818971,0.00818971
66,361.188,0.75693,0.55184,0.87815,0.93741,0.93588,0.97762,0.85322,0.55093,0.38848,0.82542,0.00816143,0.00816143,0.00816143
67,366.559,0.75057,0.54664,0.88066,0.93307,0.9145,0.9701,0.84569,0.56584,0.41636,0.82698,0.00813314,0.00813314,0.00813314
68,371.941,0.76006,0.55946,0.87879,0.85747,0.91786,0.95837,0.83449,0.56176,0.44132,0.82555,0.00810486,0.00810486,0.00810486
69,377.314,0.77498,0.56351,0.87478,0.91743,0.91322,0.96455,0.83202,0.56695,0.41477,0.8286,0.00807657,0.00807657,0.00807657
70,382.658,0.75414,0.54901,0.87977,0.8022,0.8247,0.88034,0.75256,0.59898,0.52063,0.829,0.00804829,0.00804829,0.00804829
71,388.062,0.74309,0.53746,0.87353,0.90051,0.91794,0.96522,0.84699,0.53163,0.39473,0.81927,0.00802,0.00802,0.00802
72,393.599,0.75151,0.54161,0.87337,0.87521,0.91971,0.96393,0.84377,0.53641,0.41601,0.81886,0.00799171,0.00799171,0.00799171
73,398.987,0.76192,0.54064,0.87359,0.90628,0.90872,0.966,0.81877,0.64258,0.42993,0.83298,0.00796343,0.00796343,0.00796343
74,404.341,0.76183,0.52946,0.8765,0.93873,0.91447,0.97755,0.86679,0.52207,0.38038,0.82028,0.00793514,0.00793514,0.00793514
75,409.802,0.73033,0.51068,0.86516,0.93583,0.90999,0.97042,0.85563,0.52751,0.38501,0.81829,0.00790686,0.00790686,0.00790686
76,415.139,0.73102,0.51791,0.86895,0.94749,0.92252,0.9769,0.86372,0.52004,0.36531,0.81778,0.00787857,0.00787857,0.00787857
77,420.469,0.75606,0.53353,0.87145,0.89075,0.86714,0.94857,0.83154,0.53936,0.44302,0.82025,0.00785029,0.00785029,0.00785029
78,425.957,0.7511,0.51775,0.87196,0.84315,0.90326,0.94447,0.82577,0.53617,0.43835,0.81888,0.007822,0.007822,0.007822
79,431.338,0.72826,0.50844,0.87097,0.95004,0.92491,0.98192,0.87075,0.53299,0.37835,0.818,0.00779371,0.00779371,0.00779371
80,436.745,0.7401,0.52281,0.87459,0.95598,0.90814,0.97555,0.86778,0.52286,0.37658,0.81554,0.00776543,0.00776543,0.00776543
81,442.092,0.74201,0.50932,0.87005,0.94632,0.94477,0.9826,0.8567,0.54616,0.36604,0.82058,0.00773714,0.00773714,0.00773714
82,447.501,0.72188,0.50945,0.86735,0.93447,0.91994,0.9732,0.85102,0.54246,0.39612,0.82133,0.00770886,0.00770886,0.00770886
83,453.041,0.70801,0.50753,0.87062,0.9674,0.92091,0.98303,0.87049,0.51223,0.35775,0.81489,0.00768057,0.00768057,0.00768057
84,458.427,0.70281,0.49443,0.8629,0.91646,0.86228,0.95792,0.83235,0.56753,0.43314,0.82158,0.00765229,0.00765229,0.00765229
85,463.772,0.69885,0.49011,0.86532,0.96215,0.94295,0.98384,0.8714,0.51433,0.34581,0.81307,0.007624,0.007624,0.007624
86,469.204,0.73138,0.50792,0.86927,0.97072,0.92865,0.97994,0.86028,0.55176,0.35566,0.8202,0.00759571,0.00759571,0.00759571
87,474.538,0.72557,0.50062,0.86677,0.96764,0.95516,0.98513,0.86295,0.54982,0.35169,0.81826,0.00756743,0.00756743,0.00756743
88,479.953,0.71084,0.49437,0.86419,0.9648,0.94645,0.98394,0.87677,0.4954,0.33353,0.8131,0.00753914,0.00753914,0.00753914
