epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,243.488,0.88921,0.71935,0.91289,0.80008,0.82597,0.90077,0.772,0.59372,0.6036,0.84458,0.008812,0.008812,0.008812
44,248.937,0.86768,0.6949,0.90508,0.80682,0.85074,0.88024,0.73241,0.63426,0.54759,0.85067,0.00878371,0.00878371,0.00878371
45,254.326,0.87112,0.68509,0.90558,0.90048,0.89569,0.9438,0.80652,0.61092,0.46708,0.8422,0.00875543,0.00875543,0.00875543
46,259.821,0.83517,0.67143,0.90304,0.82081,0.84691,0.88587,0.74591,0.67612,0.55764,0.85457,0.00872714,0.00872714,0.00872714
47,265.207,0.84553,0.66632,0.90066,0.83555,0.88788,0.9174,0.76408,0.66663,0.50328,0.85135,0.00869886,0.00869886,0.00869886
48,270.793,0.85512,0.66635,0.90021,0.82497,0.82265,0.8862,0.74739,0.63303,0.60977,0.84671,0.00867057,0.00867057,0.00867057
49,276.227,0.84139,0.66012,0.9034,0.7687,0.86647,0.88867,0.76274,0.59455,0.56757,0.84157,0.00864229,0.00864229,0.00864229
50,281.697,0.83359,0.65854,0.89857,0.76667,0.87188,0.89495,0.75934,0.60203,0.53093,0.8453,0.008614,0.008614,0.008614
51,287.124,0.84838,0.65819,0.90289,0.72859,0.87349,0.85305,0.71274,0.65593,0.5569,0.84765,0.00858571,0.00858571,0.00858571
52,292.57,0.81955,0.65663,0.90097,0.85325,0.84904,0.9053,0.77062,0.62627,0.48839,0.84372,0.00855743,0.00855743,0.00855743
53,297.996,0.83332,0.64851,0.89808,0.4883,0.68739,0.61852,0.48108,0.81242,1.27641,0.89554,0.00852914,0.00852914,0.00852914
54,303.575,0.83234,0.65027,0.89887,0.87577,0.92378,0.9577,0.82116,0.61009,0.45921,0.83512,0.00850086,0.00850086,0.00850086
55,309.057,0.85407,0.65084,0.90228,0.78214,0.87288,0.88473,0.7288,0.67016,0.54075,0.8544,0.00847257,0.00847257,0.00847257
56,314.484,0.84099,0.64779,0.90093,0.82578,0.72509,0.86286,0.73044,0.62133,0.64172,0.84137,0.00844429,0.00844429,0.00844429
57,319.918,0.83245,0.65943,0.89429,0.88906,0.84678,0.94099,0.79342,0.61253,0.49719,0.84351,0.008416,0.008416,0.008416
58,325.346,0.83821,0.63515,0.89779,0.92011,0.88703,0.94979,0.79782,0.66175,0.46677,0.84829,0.00838771,0.00838771,0.00838771
